nome;CPF
Nicolas Fernandes;540.828.189-28
Rafaela Alves;920.345.392-06
Joao Fernandes;141.016.992-83
Kaue Araujo;195.561.127-07
Emilly Rodrigues;926.611.624-61
Miguel Gomes;821.439.706-50
Matheus Correia;602.940.951-44
Leila Cavalcanti;981.947.191-51
Marcos Santos;360.368.413-37
Giovanna Cardoso;413.073.446-66
Gabriela Ferreira;228.972.244-87
Enzo Rodrigues;169.909.105-69
Ana Alves;383.882.757-04
Giovanna Dias;313.866.215-36
Luiza Costa;186.306.372-26
Davi Araujo;220.697.704-43
Kaua Pereira;119.705.342-57
Luiza Ribeiro;374.445.030-95
Fabio Barbosa;381.334.901-20
Pedro Correia;358.804.088-92
Manuela Carvalho;304.599.550-04
Davi Almeida;115.443.818-08
Brenda Pinto;484.806.033-80
Miguel Carvalho;295.680.560-68
Leila Barros;601.913.248-09
Isabela Ferreira;461.712.248-63
Guilherme Costa;803.921.965-57
Emilly Sousa;636.596.315-74
Tiago Ribeiro;956.816.521-57
Vinicius Goncalves;292.861.940-21
